Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Checkout,Chrome 147.0.7727.138,Test Suite untuk modul Checkout - 10 test cases,,03-05-2026 16:39:37,03-05-2026 16:43:09,3m - 32.539s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_001_Checkout_Data_Valid,Chrome 147.0.7727.138,,,03-05-2026 16:39:37,03-05-2026 16:40:02,25.411s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:39:38,03-05-2026 16:39:41,3.350s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:39:41,03-05-2026 16:39:44,3.253s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:39:44,03-05-2026 16:39:44,0.077s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:39:44,03-05-2026 16:39:45,1.001s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:39:45,03-05-2026 16:39:46,0.762s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:39:46,03-05-2026 16:39:48,1.980s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:39:48,03-05-2026 16:39:50,2.048s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:39:50,03-05-2026 16:39:50,0.321s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:39:50,03-05-2026 16:39:52,2.007s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_1""))",Chrome 147.0.7727.138,,,03-05-2026 16:39:52,03-05-2026 16:39:53,0.407s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:39:53,03-05-2026 16:39:54,1.010s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:39:54,03-05-2026 16:39:54,0.407s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:39:54,03-05-2026 16:39:56,2.014s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. Merdeka No.1 Jakarta"")",Chrome 147.0.7727.138,,,03-05-2026 16:39:56,03-05-2026 16:39:57,0.774s,PASSED
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""transfer_bank"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:39:57,03-05-2026 16:39:58,1.014s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:39:58,03-05-2026 16:39:59,1.131s,PASSED
delay(3),Chrome 147.0.7727.138,,,03-05-2026 16:39:59,03-05-2026 16:40:02,3.016s,PASSED
"verifyMatch(getUrl(), "".*riwayat.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:40:02,03-05-2026 16:40:02,0.047s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:40:02,03-05-2026 16:40:02,0.254s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_002_Checkout_Tanpa_Alamat,Chrome 147.0.7727.138,,,03-05-2026 16:40:02,03-05-2026 16:40:31,28.821s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:40:03,03-05-2026 16:40:04,1.590s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:04,03-05-2026 16:40:07,2.981s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:40:07,03-05-2026 16:40:07,0.038s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:40:07,03-05-2026 16:40:08,0.817s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:40:08,03-05-2026 16:40:09,0.753s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:09,03-05-2026 16:40:15,6.371s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:15,03-05-2026 16:40:17,2.008s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:17,03-05-2026 16:40:22,5.265s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:22,03-05-2026 16:40:24,2.020s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_1""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:24,03-05-2026 16:40:25,0.408s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:40:25,03-05-2026 16:40:26,1.018s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:26,03-05-2026 16:40:26,0.498s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:26,03-05-2026 16:40:28,2.009s,PASSED
"clearText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:28,03-05-2026 16:40:29,0.318s,PASSED
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""cod"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:40:29,03-05-2026 16:40:30,0.965s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:30,03-05-2026 16:40:30,0.408s,PASSED
