Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 147.0.7727.138,Test Suite untuk modul Login - 8 test cases,,03-05-2026 16:36:46,03-05-2026 16:38:05,1m - 19.402s,PASSED
,,,,,,,
Test Cases/TC_Login/TC_LOG_001_Login_Valid,Chrome 147.0.7727.138,,,03-05-2026 16:36:46,03-05-2026 16:37:02,16.480s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:36:46,03-05-2026 16:36:50,3.698s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:36:50,03-05-2026 16:36:54,3.791s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:36:54,03-05-2026 16:36:54,0.067s,PASSED
"verifyElementPresent(findTestObject(""Page_Login/input_email""), timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:36:54,03-05-2026 16:36:54,0.379s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:36:54,03-05-2026 16:36:55,0.889s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:36:55,03-05-2026 16:36:56,0.760s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:36:56,03-05-2026 16:37:00,3.758s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:37:00,03-05-2026 16:37:02,2.071s,PASSED
"verifyMatch(getUrl(), "".*index.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:37:02,03-05-2026 16:37:02,0.049s,PASSED
"verifyElementPresent(findTestObject(""Page_Navbar/link_logout""), timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:37:02,03-05-2026 16:37:02,0.265s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:37:02,03-05-2026 16:37:02,0.221s,PASSED
,,,,,,,
Test Cases/TC_Login/TC_LOG_002_Login_Email_Tidak_Terdaftar,Chrome 147.0.7727.138,,,03-05-2026 16:37:02,03-05-2026 16:37:12,9.301s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:37:03,03-05-2026 16:37:04,1.615s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:37:04,03-05-2026 16:37:07,2.546s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:37:07,03-05-2026 16:37:07,0.050s,PASSED
"setText(findTestObject(""Page_Login/input_email""), ""tidakada@test.com"")",Chrome 147.0.7727.138,,,03-05-2026 16:37:07,03-05-2026 16:37:08,0.832s,PASSED
"setText(findTestObject(""Page_Login/input_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:37:08,03-05-2026 16:37:08,0.747s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:37:08,03-05-2026 16:37:09,0.965s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:37:09,03-05-2026 16:37:11,2.007s,PASSED
"verifyElementPresent(findTestObject(""Page_Login/alert_message""), timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:37:11,03-05-2026 16:37:12,0.275s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:37:12,03-05-2026 16:37:12,0.177s,PASSED
,,,,,,,
Test Cases/TC_Login/TC_LOG_003_Login_Password_Salah,Chrome 147.0.7727.138,,,03-05-2026 16:37:12,03-05-2026 16:37:21,9.687s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:37:12,03-05-2026 16:37:13,1.536s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:37:13,03-05-2026 16:37:16,2.706s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:37:16,03-05-2026 16:37:16,0.050s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:37:16,03-05-2026 16:37:17,0.815s,PASSED
"setText(findTestObject(""Page_Login/input_password""), ""SalahPassword"")",Chrome 147.0.7727.138,,,03-05-2026 16:37:17,03-05-2026 16:37:18,0.740s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:37:18,03-05-2026 16:37:19,1.303s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:37:19,03-05-2026 16:37:21,2.008s,PASSED
