Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Register,Chrome 147.0.7727.138,Test Suite untuk modul Register - 10 test cases,,03-05-2026 16:34:46,03-05-2026 16:36:41,1m - 55.315s,PASSED
,,,,,,,
Test Cases/TC_Register/TC_REG_001_Registrasi_Data_Valid,Chrome 147.0.7727.138,,,03-05-2026 16:34:46,03-05-2026 16:35:00,14.793s,PASSED
"uniqueEmail = ""testuser_"" + System.currentTimeMillis() + ""@test.com""",Chrome 147.0.7727.138,,,03-05-2026 16:34:46,03-05-2026 16:34:46,0.015s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:34:46,03-05-2026 16:34:50,3.360s,PASSED
"navigateToUrl(baseUrl + ""/register.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:34:50,03-05-2026 16:34:53,3.738s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:34:53,03-05-2026 16:34:53,0.084s,PASSED
"verifyElementPresent(findTestObject(""Page_Register/input_nama_lengkap""), timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:34:53,03-05-2026 16:34:54,0.383s,PASSED
"setText(findTestObject(""Page_Register/input_nama_lengkap""), ""Budi Santoso"")",Chrome 147.0.7727.138,,,03-05-2026 16:34:54,03-05-2026 16:34:55,0.903s,PASSED
"setText(findTestObject(""Page_Register/input_email""), uniqueEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:34:55,03-05-2026 16:34:56,0.763s,PASSED
"setText(findTestObject(""Page_Register/input_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:34:56,03-05-2026 16:34:56,0.753s,PASSED
"setText(findTestObject(""Page_Register/input_konfirmasi_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:34:56,03-05-2026 16:34:57,0.731s,PASSED
"setText(findTestObject(""Page_Register/input_no_telepon""), ""081234567890"")",Chrome 147.0.7727.138,,,03-05-2026 16:34:57,03-05-2026 16:34:58,0.763s,PASSED
"setText(findTestObject(""Page_Register/textarea_alamat""), ""Jl. Merdeka No.1"")",Chrome 147.0.7727.138,,,03-05-2026 16:34:58,03-05-2026 16:34:59,0.754s,PASSED
"click(findTestObject(""Page_Register/btn_register""))",Chrome 147.0.7727.138,,,03-05-2026 16:34:59,03-05-2026 16:35:00,1.225s,PASSED
waitForPageLoad(timeout),Chrome 147.0.7727.138,,,03-05-2026 16:35:00,03-05-2026 16:35:00,0.171s,PASSED
"verifyMatch(getUrl(), "".*login.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:35:00,03-05-2026 16:35:00,0.066s,PASSED
"verifyElementPresent(findTestObject(""Page_Login/alert_message""), timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:35:00,03-05-2026 16:35:00,0.275s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:35:00,03-05-2026 16:35:00,0.220s,PASSED
,,,,,,,
Test Cases/TC_Register/TC_REG_002_Registrasi_Tanpa_Nama,Chrome 147.0.7727.138,,,03-05-2026 16:35:00,03-05-2026 16:35:10,9.267s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:35:01,03-05-2026 16:35:02,1.478s,PASSED
"navigateToUrl(baseUrl + ""/register.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:02,03-05-2026 16:35:05,2.982s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:35:05,03-05-2026 16:35:05,0.171s,PASSED
"clearText(findTestObject(""Page_Register/input_nama_lengkap""))",Chrome 147.0.7727.138,,,03-05-2026 16:35:05,03-05-2026 16:35:06,0.371s,PASSED
"setText(findTestObject(""Page_Register/input_email""), ""test2@test.com"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:06,03-05-2026 16:35:06,0.783s,PASSED
"setText(findTestObject(""Page_Register/input_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:06,03-05-2026 16:35:07,0.734s,PASSED
"setText(findTestObject(""Page_Register/input_konfirmasi_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:07,03-05-2026 16:35:08,0.717s,PASSED
"click(findTestObject(""Page_Register/btn_register""))",Chrome 147.0.7727.138,,,03-05-2026 16:35:08,03-05-2026 16:35:08,0.391s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:35:08,03-05-2026 16:35:09,1.023s,PASSED
"verifyMatch(getUrl(), "".*register.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:35:09,03-05-2026 16:35:09,0.017s,PASSED
"verifyElementHasAttribute(findTestObject(""Page_Register/input_nama_lengkap""), ""class"", timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:35:09,03-05-2026 16:35:10,0.277s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:35:10,03-05-2026 16:35:10,0.238s,PASSED
,,,,,,,
Test Cases/TC_Register/TC_REG_003_Registrasi_Nama_Kurang,Chrome 147.0.7727.138,,,03-05-2026 16:35:10,03-05-2026 16:35:19,9.075s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:35:10,03-05-2026 16:35:11,1.431s,PASSED
"navigateToUrl(baseUrl + ""/register.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:11,03-05-2026 16:35:14,2.754s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:35:14,03-05-2026 16:35:14,0.051s,PASSED
"setText(findTestObject(""Page_Register/input_nama_lengkap""), ""Ab"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:14,03-05-2026 16:35:15,0.879s,PASSED
"setText(findTestObject(""Page_Register/input_email""), ""test3@test.com"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:15,03-05-2026 16:35:16,0.785s,PASSED
"setText(findTestObject(""Page_Register/input_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:16,03-05-2026 16:35:16,0.743s,PASSED
"setText(findTestObject(""Page_Register/input_konfirmasi_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:16,03-05-2026 16:35:17,0.729s,PASSED
"click(findTestObject(""Page_Register/btn_register""))",Chrome 147.0.7727.138,,,03-05-2026 16:35:17,03-05-2026 16:35:18,0.401s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:35:18,03-05-2026 16:35:19,1.010s,PASSED
"verifyMatch(getUrl(), "".*register.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:35:19,03-05-2026 16:35:19,0.016s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:35:19,03-05-2026 16:35:19,0.205s,PASSED
,,,,,,,
Test Cases/TC_Register/TC_REG_004_Registrasi_Email_Invalid,Chrome 147.0.7727.138,,,03-05-2026 16:35:19,03-05-2026 16:35:28,9.477s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:35:19,03-05-2026 16:35:20,1.442s,PASSED
"navigateToUrl(baseUrl + ""/register.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:20,03-05-2026 16:35:22,1.785s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:35:22,03-05-2026 16:35:24,1.389s,PASSED
"setText(findTestObject(""Page_Register/input_nama_lengkap""), ""Test User"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:24,03-05-2026 16:35:24,0.796s,PASSED
"setText(findTestObject(""Page_Register/input_email""), ""emailtanpaat"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:24,03-05-2026 16:35:25,0.877s,PASSED
"setText(findTestObject(""Page_Register/input_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:25,03-05-2026 16:35:26,0.770s,PASSED
"setText(findTestObject(""Page_Register/input_konfirmasi_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:26,03-05-2026 16:35:27,0.721s,PASSED
"click(findTestObject(""Page_Register/btn_register""))",Chrome 147.0.7727.138,,,03-05-2026 16:35:27,03-05-2026 16:35:27,0.378s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:35:27,03-05-2026 16:35:28,1.007s,PASSED
"verifyMatch(getUrl(), "".*register.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:35:28,03-05-2026 16:35:28,0.013s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:35:28,03-05-2026 16:35:28,0.233s,PASSED
,,,,,,,
Test Cases/TC_Register/TC_REG_005_Registrasi_Email_Duplikat,Chrome 147.0.7727.138,,,03-05-2026 16:35:28,03-05-2026 16:35:40,11.484s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:35:28,03-05-2026 16:35:30,1.381s,PASSED
"navigateToUrl(baseUrl + ""/register.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:30,03-05-2026 16:35:33,3.090s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:35:33,03-05-2026 16:35:33,0.059s,PASSED
"setText(findTestObject(""Page_Register/input_nama_lengkap""), ""Budi Dua"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:33,03-05-2026 16:35:34,0.804s,PASSED
"setText(findTestObject(""Page_Register/input_email""), ""budi@test.com"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:34,03-05-2026 16:35:34,0.733s,PASSED
"setText(findTestObject(""Page_Register/input_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:34,03-05-2026 16:35:35,0.722s,PASSED
"setText(findTestObject(""Page_Register/input_konfirmasi_password""), ""Test1234"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:35,03-05-2026 16:35:36,0.724s,PASSED
"click(findTestObject(""Page_Register/btn_register""))",Chrome 147.0.7727.138,,,03-05-2026 16:35:36,03-05-2026 16:35:37,1.096s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:35:37,03-05-2026 16:35:39,2.008s,PASSED
"verifyMatch(getUrl(), "".*register.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:35:39,03-05-2026 16:35:39,0.017s,PASSED
"verifyElementPresent(findTestObject(""Page_Register/alert_message""), timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:35:39,03-05-2026 16:35:39,0.261s,PASSED
"alertText = getText(findTestObject(""Page_Register/alert_message""))",Chrome 147.0.7727.138,,,03-05-2026 16:35:39,03-05-2026 16:35:40,0.294s,PASSED
"verifyMatch(alertText, "".*Email sudah terdaftar.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:35:40,03-05-2026 16:35:40,0.004s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:35:40,03-05-2026 16:35:40,0.200s,PASSED
,,,,,,,
Test Cases/TC_Register/TC_REG_006_Registrasi_Password_Kurang,Chrome 147.0.7727.138,,,03-05-2026 16:35:40,03-05-2026 16:35:48,8.643s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:35:40,03-05-2026 16:35:41,1.422s,PASSED
"navigateToUrl(baseUrl + ""/register.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:41,03-05-2026 16:35:44,2.481s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:35:44,03-05-2026 16:35:44,0.035s,PASSED
"setText(findTestObject(""Page_Register/input_nama_lengkap""), ""Test User"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:44,03-05-2026 16:35:45,0.849s,PASSED
"setText(findTestObject(""Page_Register/input_email""), ""test6@test.com"")",Chrome 147.0.7727.138,,,03-05-2026 16:35:45,03-05-2026 16:35:45,0.770s,PASSED
