Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Riwayat_Logout,Chrome 147.0.7727.138,Test Suite untuk modul Riwayat dan Logout - 6 test cases,,03-05-2026 16:43:14,03-05-2026 16:44:46,1m - 31.678s,PASSED
,,,,,,,
Test Cases/TC_Riwayat_Logout/TC_RIW_001_Lihat_Riwayat,Chrome 147.0.7727.138,,,03-05-2026 16:43:15,03-05-2026 16:43:31,16.032s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:43:15,03-05-2026 16:43:19,3.374s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:43:19,03-05-2026 16:43:22,2.975s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:43:22,03-05-2026 16:43:22,0.065s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:43:22,03-05-2026 16:43:23,0.976s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:43:23,03-05-2026 16:43:24,0.747s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:43:24,03-05-2026 16:43:25,1.612s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:43:25,03-05-2026 16:43:27,2.053s,PASSED
"navigateToUrl(baseUrl + ""/riwayat.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:43:27,03-05-2026 16:43:28,0.628s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:43:28,03-05-2026 16:43:30,2.013s,PASSED
"verifyMatch(getUrl(), "".*riwayat.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:43:30,03-05-2026 16:43:30,0.046s,PASSED
pesananSection = new com.kms.katalon.core.testobject.TestObject(pesanan_section),Chrome 147.0.7727.138,,,03-05-2026 16:43:30,03-05-2026 16:43:30,0.016s,PASSED
"pesananSection.addProperty(""xpath"", EQUALS, ""//div[contains(@class,'checkout-section')]"")",Chrome 147.0.7727.138,,,03-05-2026 16:43:30,03-05-2026 16:43:30,0.014s,PASSED
"verifyElementPresent(pesananSection, timeout)",Chrome 147.0.7727.138,,,03-05-2026 16:43:30,03-05-2026 16:43:30,0.272s,PASSED
badgeStatus = new com.kms.katalon.core.testobject.TestObject(badge_status),Chrome 147.0.7727.138,,,03-05-2026 16:43:30,03-05-2026 16:43:30,0.002s,PASSED
"badgeStatus.addProperty(""xpath"", EQUALS, ""//span[contains(@class,'badge')]"")",Chrome 147.0.7727.138,,,03-05-2026 16:43:30,03-05-2026 16:43:30,0.005s,PASSED
